timestamp,cpu_total,cpu_idle,cpu_user,load_min1,load_min5,load_min15,mem_used,mem_percent,network_lo_rx,network_lo_tx
2021-01-01 00:00:00,31.79,67.45,29.54,1.223,0.763,0.458,1625577214,40.64,380779,432257
2021-01-01 00:00:01,40.63,57.95,38.91,1.435,1.244,0.977,1908144459,47.7,551580,484727
2021-01-01 00:00:02,29.92,69.76,25.48,1.073,0.725,0.463,2128992269,53.22,463375,650159
2021-01-01 00:00:03,15.99,82.91,13.38,0.477,0.576,0.448,2183500852,54.59,618244,657309
2021-01-01 00:00:04,42.54,56.57,39.95,1.511,1.164,0.798,1876951333,46.92,410357,694909
2021-01-01 00:00:05,39.22,56.59,37.54,1.621,1.085,0.797,2820167128,70.5,254259,506097
2021-01-01 00:00:06,12.82,83.81,10.29,1.205,0.916,0.62,1948337677,48.71,486929,564159
2021-01-01 00:00:07,25.89,71.65,21.4,0.812,0.568,0.437,1496481787,37.41,664755,394997
2021-01-01 00:00:08,44.83,53.12,42.38,1.698,1.56,1.091,2363980157,59.1,503456,464655
2021-01-01 00:00:09,34.05,68.32,29.24,1.346,1.003,0.784,2182138191,54.55,362790,388491
2021-01-01 00:00:10,47.89,53.25,43.11,1.71,1.312,0.837,2069506646,51.74,337572,547325
2021-01-01 00:00:11,40.47,53.23,38.89,1.948,1.841,1.112,1860523732,46.51,619790,503841
2021-01-01 00:00:12,32.26,63.87,30.55,0.579,0.565,0.298,2118003954,52.95,419256,522618
2021-01-01 00:00:13,66.63,31.56,62.18,2.506,2.337,1.743,2485704873,62.14,654179,415378
2021-01-01 00:00:14,66.12,34.41,63.55,2.89,2.564,1.779,2060489881,51.51,565409,585068
2021-01-01 00:00:15,44.04,51.87,43.03,1.673,1.161,0.822,1558989923,38.97,423043,259297
2021-01-01 00:00:16,54.74,45.13,52.65,1.943,1.753,1.122,963993775,24.1,616713,474797
2021-01-01 00:00:17,32.92,65.05,29.53,1.449,1.464,1.032,2115367868,52.88,407610,489335
2021-01-01 00:00:18,49.93,46.74,45.74,2.269,2.122,1.383,1704225937,42.61,355266,297839
2021-01-01 00:00:19,54.53,39.2,52.99,2.244,1.993,1.308,1970086184,49.25,413325,538412
2021-01-01 00:00:20,13.81,82.38,12.37,0.312,0.443,0.27,1757276713,43.93,576873,482673
2021-01-01 00:00:21,42.91,57.03,38.22,1.853,1.422,1.04,1735727304,43.39,613796,556111
2021-01-01 00:00:22,34.88,61.45,30.88,1.275,0.852,0.652,1770417760,44.26,460397,699982
2021-01-01 00:00:23,58.23,39.09,54.87,2.553,1.972,1.438,1797537392,44.94,313168,532462
2021-01-01 00:00:24,49.37,52.31,45.3,2.42,1.603,0.963,2232870796,55.82,344323,597266
2021-01-01 00:00:25,35.76,62.16,33.04,0.649,0.787,0.551,2172093137,54.3,393235,638095
2021-01-01 00:00:26,57.34,43.25,53.3,2.327,1.805,1.244,1637603353,40.94,370600,549202
2021-01-01 00:00:27,31.49,66.17,29.01,0.739,0.849,0.441,1678479582,41.96,526543,413412
2021-01-01 00:00:28,45.69,51.55,43.72,2.56,1.802,1.263,2113736571,52.84,693811,335983
2021-01-01 00:00:29,42.22,56.2,38.3,1.548,1.455,0.994,2315750709,57.89,579577,537437
2021-01-01 00:00:30,46.96,51.57,44.29,2.103,1.583,1.159,2311142407,57.78,387176,459974
2021-01-01 00:00:31,13.54,88.4,8.61,0.531,0.168,0.126,1699127347,42.48,430562,628360
2021-01-01 00:00:32,36.94,60.44,34.54,1.237,1.315,0.865,2296793429,57.42,450070,452487
2021-01-01 00:00:33,52.91,44.79,48.23,1.84,1.693,1.278,1467119109,36.68,538921,498569
2021-01-01 00:00:34,25.73,73.02,21.0,1.505,1.246,0.65,1939134674,48.48,657125,384098
2021-01-01 00:00:35,55.55,42.39,53.58,2.509,2.014,1.403,2146107932,53.65,453259,465616
2021-01-01 00:00:36,32.73,63.85,28.54,1.892,1.602,0.945,1376358496,34.41,653877,405716
2021-01-01 00:00:37,63.92,31.34,61.18,2.573,2.098,1.377,2627857077,65.7,710391,414847
2021-01-01 00:00:38,60.58,40.83,55.91,2.51,1.849,1.347,2398008554,59.95,465009,494718
2021-01-01 00:00:39,36.83,63.73,34.03,1.393,1.032,0.595,2194101191,54.85,462435,439308
2021-01-01 00:00:40,25.66,71.87,21.68,0.94,1.144,0.659,1710491537,42.76,463938,762923
2021-01-01 00:00:41,32.52,63.39,29.65,0.988,1.325,1.166,1979568912,49.49,506248,583589
2021-01-01 00:00:42,35.0,59.1,33.09,1.425,1.453,0.881,2237126050,55.93,464182,608463
2021-01-01 00:00:43,38.12,56.34,36.32,1.288,1.126,0.953,1663201529,41.58,588417,488910
2021-01-01 00:00:44,58.4,38.7,55.7,2.469,1.907,1.318,1945857730,48.65,345116,510575
2021-01-01 00:00:45,48.74,50.1,44.72,2.001,1.441,0.956,2273115154,56.83,446537,457040
2021-01-01 00:00:46,47.25,54.01,43.83,1.976,1.435,1.061,1551621499,38.79,532917,762438
2021-01-01 00:00:47,23.48,76.79,19.73,1.442,1.043,0.864,2099727413,52.49,587008,489113
2021-01-01 00:00:48,31.26,66.11,29.13,1.239,1.422,0.881,1473569111,36.84,719528,439624
2021-01-01 00:00:49,62.63,34.53,59.7,2.732,2.547,1.732,1716845973,42.92,371097,424599
2021-01-01 00:00:50,29.98,65.85,28.8,1.815,1.601,1.205,1848622218,46.22,434795,533535
2021-01-01 00:00:51,42.58,55.24,38.31,2.095,1.484,1.068,2154066683,53.85,273359,642102
2021-01-01 00:00:52,50.4,50.88,45.44,2.362,2.068,1.558,1789763269,44.74,389013,608695
2021-01-01 00:00:53,27.01,70.23,24.38,0.988,0.743,0.572,2037664517,50.94,323107,424367
2021-01-01 00:00:54,21.98,76.54,20.93,0.948,0.328,0.41,1793831558,44.85,447870,421905
2021-01-01 00:00:55,22.14,75.06,20.46,0.49,0.449,0.332,1840814968,46.02,477163,624626
2021-01-01 00:00:56,48.59,48.52,44.98,2.093,1.506,1.076,2375198452,59.38,546945,710138
2021-01-01 00:00:57,40.8,56.49,37.35,1.714,1.21,0.879,1654931546,41.37,470140,485499
2021-01-01 00:00:58,30.09,66.12,25.94,1.211,0.918,0.629,2227746192,55.69,546993,620662
2021-01-01 00:00:59,22.55,75.8,20.53,1.21,0.868,0.693,1999680834,49.99,511407,353391
2021-01-01 00:01:00,45.06,54.0,41.01,1.44,1.145,0.825,1827333893,45.68,396667,415647
2021-01-01 00:01:01,41.35,58.42,37.6,2.145,1.699,1.268,1634743150,40.87,331372,399040
2021-01-01 00:01:02,53.02,44.63,50.72,2.391,1.538,1.171,1656129107,41.4,558368,541221
2021-01-01 00:01:03,52.74,43.3,49.55,2.088,1.975,1.425,1778406492,44.46,664650,482102
2021-01-01 00:01:04,22.03,73.45,20.44,0.837,0.473,0.381,1954983677,48.87,753538,523809
2021-01-01 00:01:05,13.89,81.63,11.08,0.7,0.369,0.157,2181052890,54.53,593545,621911
2021-01-01 00:01:06,41.08,60.22,36.55,2.099,1.614,1.075,1909928222,47.75,645751,434683
2021-01-01 00:01:07,19.07,76.38,16.38,0.793,0.613,0.513,1930006744,48.25,546145,509399
2021-01-01 00:01:08,35.23,66.77,30.87,1.452,1.454,1.16,1974802933,49.37,530200,366206
2021-01-01 00:01:09,44.34,51.69,40.98,1.779,1.477,0.84,2143033307,53.58,511100,616378
2021-01-01 00:01:10,30.99,66.8,29.22,1.774,1.533,1.016,2193440845,54.84,489419,609641
2021-01-01 00:01:11,14.97,84.47,11.64,0.488,0.445,0.314,1583910357,39.6,560707,536188
2021-01-01 00:01:12,37.07,60.88,34.04,1.474,1.225,0.77,1915377587,47.88,447940,511993
2021-01-01 00:01:13,10.04,84.91,7.45,0.841,0.734,0.432,2368221205,59.21,485255,449085
2021-01-01 00:01:14,77.03,22.16,75.55,3.125,2.114,1.527,1605164013,40.13,382203,360445
2021-01-01 00:01:15,24.75,73.81,22.08,1.331,1.015,0.869,2022293867,50.56,547492,530554
2021-01-01 00:01:16,31.35,62.8,30.06,0.981,1.017,0.509,1948746798,48.72,404090,575620
2021-01-01 00:01:17,39.99,57.03,38.59,1.538,2.019,1.396,1829997323,45.75,503374,701937
2021-01-01 00:01:18,36.56,62.91,33.89,1.908,1.285,0.946,2477234795,61.93,550049,460645
2021-01-01 00:01:19,65.93,31.74,63.71,2.434,2.032,1.501,2011050742,50.28,558589,527018
2021-01-01 00:01:20,42.11,58.28,37.41,1.639,1.197,0.87,2453343521,61.33,577150,611440
2021-01-01 00:01:21,28.06,66.95,25.56,1.199,1.369,1.135,2001688161,50.04,478670,614453
2021-01-01 00:01:22,13.68,83.78,9.65,0.25,0.0,0.003,2138076766,53.45,548606,437752
2021-01-01 00:01:23,44.23,53.86,41.11,1.645,1.441,1.14,1826833547,45.67,451337,472084
2021-01-01 00:01:24,46.36,49.52,42.55,1.888,1.229,0.796,1830171897,45.75,302912,447484
2021-01-01 00:01:25,43.11,54.14,41.07,1.738,1.327,0.935,2122804259,53.07,553030,409815
2021-01-01 00:01:26,27.0,75.42,22.23,1.464,1.164,0.694,2128309237,53.21,529848,647166
2021-01-01 00:01:27,32.91,66.64,29.79,1.779,1.637,1.236,2179396119,54.48,601332,506271
2021-01-01 00:01:28,45.93,53.78,41.61,1.58,1.049,0.722,2113003486,52.83,497471,492575
2021-01-01 00:01:29,30.08,69.44,27.62,1.236,1.122,0.821,1599073721,39.98,339683,524770
2021-01-01 00:01:30,30.5,63.22,29.1,1.422,1.141,0.768,1758089396,43.95,490836,505376
2021-01-01 00:01:31,20.78,76.31,17.09,1.286,1.084,0.817,2254982865,56.37,588658,477902
2021-01-01 00:01:32,46.15,51.27,45.12,2.062,1.841,1.328,1412460390,35.31,547603,423844
2021-01-01 00:01:33,40.45,56.9,37.55,1.705,1.108,0.676,2087782172,52.19,485325,656528
2021-01-01 00:01:34,39.49,55.95,37.72,1.779,1.586,1.016,1966435970,49.16,333644,442972
2021-01-01 00:01:35,55.96,39.9,52.45,2.441,1.839,1.284,2254874560,56.37,397398,406948
2021-01-01 00:01:36,31.31,66.32,26.39,0.974,0.999,0.765,2124986355,53.12,547723,491944
2021-01-01 00:01:37,31.96,65.81,29.1,1.336,1.136,0.981,1800805916,45.02,333484,715751
2021-01-01 00:01:38,35.63,61.99,31.36,1.863,1.449,1.044,1787194988,44.68,468175,417842
